"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Shannon, Clare","12 years and over","1.3","0.5","","","","","","","",""
"2021 January","Ennis, Clare","5 - 11 years","","","","","","","","","",""
"2021 January","Ennis, Clare","12 years and over","2","0.8","","","","","","","",""
"2021 January","Kilrush, Clare","5 - 11 years","","","","","","","","","",""
"2021 January","Kilrush, Clare","12 years and over","3.3","0.8","","","","","","","",""
"2021 January","Kanturk, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Kanturk, Cork County","12 years and over","3.7","1","","","","","","","",""
"2021 January","Fermoy, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Fermoy, Cork County","12 years and over","2.7","1.1","","","","","","","",""
"2021 January","Midleton, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Midleton, Cork County","12 years and over","2.3","1.4","","","","","","","",""
"2021 January","Carrigaline, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Carrigaline, Cork County","12 years and over","3.2","2.2","","","","","","","",""
"2021 January","Cobh, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Cobh, Cork County","12 years and over","2.8","1.8","","","","","","","",""
"2021 January","Bandon-Kinsale, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Bandon-Kinsale, Cork County","12 years and over","3.1","1.7","","","","","","","",""
"2021 January","Bantry-West Cork, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Bantry-West Cork, Cork County","12 years and over","3.4","0.4","","","","","","","",""
"2021 January","Skibbereen-West Cork, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Skibbereen-West Cork, Cork County","12 years and over","2.6","0.8","","","","","","","",""
"2021 January","Macroom, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Macroom, Cork County","12 years and over","4.2","2.2","","","","","","","",""
"2021 January","Mallow, Cork County","5 - 11 years","","","","","","","","","",""
"2021 January","Mallow, Cork County","12 years and over","3.1","1.4","","","","","","","",""
