GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Baldoyle Medical Clinic,"Racecourse Shopping Centre, Grange Road, Baldoyle, Dublin, D13  N6w7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 N6w7,NA,NA,53.397895,-6.1500804
Ballagh House Surgery,"Ballagh House, Boynehill, Navan, Meath, C15  Hk27",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 Hk27,NA,NA,53.6275458,-6.663972999999999
Balla Medical Centre,"Balla, Mayo, F23  Cv61",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F23 Cv61,NA,NA,53.8019768,-9.1304652
Ballina Medical Centre,"Kevin Barry Street, Ballina, Mayo, F26  P6p1",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ncvc9vqpwh9ext1k9,NA,NA,54.1112636,-9.1595815
Ballinamore Surgery,"7/8 Railway Road, Ballinamore, Leitrim, N41  Ef60",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N41 Ef60,NA,NA,54.0542915,-7.7971684
Ballingarry Health Centre,"Ballingarry Upper, Thurles, Tipperary, E41  D589",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 D589,NA,NA,52.5862414,-7.541117499999999
Ballinteer Health General & Family Pratice,"21 Woodpark, Ballinteer Avenue, Ballinteer, Dublin, D16  Ht65",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 Ht65,NA,NA,53.277582,-6.2467177
Ballinteer Medical,"Unit 1, Ballinteer Business Centre, Ballinteer Avenue, Dublin, D16  X0h2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 X0h2,NA,NA,53.2760198,-6.249542600000001
Ballsbridge Medical Centre,"66 Merrion Road, Dublin, D04  N1w5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 N1w5,NA,NA,53.32727269999999,-6.2245555
Ballyboden Medical,"Unit 1 Ballyboden Shopping Centre, Taylor's Lan, Rathfarnham, Dublin, D16  Rk74",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 Rk74,NA,NA,53.2818947,-6.2947809
Ballybrack Medical Centre,"4a Church Road, Ballybrack, Glenageary, Dublin, A96  Ct85",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 Ct85,NA,NA,53.252712,-6.1245664
Ballycane Surgery,"Hazelmere Shopping Centre, Hazelmere, Naas, Kildare, W91  Aw7d",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 Aw7d,NA,NA,53.2107748,-6.6524274
Ballyconnell Medical,"Health Care Unit, Ballyconnell, Cavan, H14  Cd52",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H14 Cd52,NA,NA,54.1178672,-7.5836693
Ballycotton Medical Centre,"Monagurra, Shanagarry, Cork, P25  Pf96",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Pf96,NA,NA,51.8402615,-8.0339297
Ballycullen Medical Centre,"Oldcourt Shopping Centre, Parklands Road, Castleknock, Dublin, D24  Dy0h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Dy0h,NA,NA,53.2746206,-6.3452668
Ballyduff Gp Practice,"Main Street, Ballyduff Upper, Waterford, P51  E0kr",Location And Directions - Google Maps,Https://Maps.app.goo.gl/5jyxt5rzglgxntau7,NA,NA,52.1476997,-8.0526372
Ballyduff Medical Centre,"Main Street, Ballyduff, Kerry, V92  Tr66",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Tr66,NA,NA,52.4545648,-9.6627008
Ballyfermot Family Practice,"Ballyfermot Road, Ballyfermot, Dublin, D10  Ck40",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D10 Ck40,NA,NA,53.3426708,-6.3575676
Ballygar Health Centre,"High Street, Ballygar, Galway, F42  F759",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Oglwe9kgm1typkaj6,NA,NA,53.520643,-8.3318468
Ballyhale Health Centre,"Vicars Lane, Ballyhale, Kilkenny, R95  X0vx",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Oe32miko9tudk5er9,NA,NA,52.4682399,-7.2000399
Ballyhaunis Medical Centre,"Clare Street, Ballyhaunis, Mayo, F35  R127",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F35 R127,NA,NA,53.7631101,-8.764984
Ballymahon Medical Centre,"Main Street, Ballymahon, Longford, N39  Ax88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 Ax88,NA,NA,53.5619792,-7.7629208
Ballymodan Family Practice,"3 Ballymodan Place, Bandon, Cork, P72  Rx61",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P72 Rx61,NA,NA,51.7440633,-8.7401179
Ballymote Family Practice,"Earlsfield, Ballymote, Sligo, F56  Pk88",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Hlfw6iy6hhuql4mw6,NA,NA,54.0942799,-8.515568199999999
Ballymun Family Practice - Ground Floor,"Main Street, Ballymun, Dublin, D09  C8p5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/L9blza2x1u3t9vg8a,NA,NA,53.3878265,-6.2977941
Ballymun Gp,"Main Street, Ballymun, Dublin, D09  C8p5",Location And Directions - Google Maps,Https://Maps.app.goo.gl/L9blza2x1u3t9vg8a,NA,NA,53.3878265,-6.2977941
Ballyowen Lane Medical Centric Health,"Ballyowen Castle Centre, Ballyowen Lane, Lucan Dublin, Dublin, K78  X6v9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 X6v9,NA,NA,53.3486268,-6.423285099999999
Ballyporeen Health Centre,"Church Street, Ballyporeen, Tipperary, E21  X735",Location And Directions - Google Maps,Https://Maps.app.goo.gl/U7ioyi7mtkkvlgn56,NA,NA,52.2717192,-8.1000648
