GP_Name,GP_Address,GP_LocationText,GP_LocationLink
Bandon Medical Clinic,"11/12 Oliver Plunkett Street, Bandon, Cork, P72  N272",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P72 N272
Bangor Erris Health Centre,"Main Street, Bangor Erris, Mayo, F26  Y886",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Svoiqin5xc1vwlf2a
Bank Place Clinic,"Bank Place, Castletownbere, Cork, P75  V275",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 V275
Bannow Gp,"Graigue, Duncormick, Wexford, Y35  N8xy",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Fadeeawy4gtcoz3t7
Bansha Health Centre,"Main Street, Bansha, Tipperary, E34  Kv70",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qacv4c5lscbuxe3w8
Bantry Bay Medical Centre,"The Quay, Bantry, Cork, P75  Y368",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 Y368
Barrow Medical,"Unit E2, The Gasworks, Barrow Street, Dublin, D04  C1k7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 C1k7
Barryscourt Medical Centre,"Midleton Road, Carrigtwohill, Cork, T45  Ey17",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T45 Ey17
Bath Avenue Surgery,"Bath Avenue Medical Centre, 4/6 Bath Avenue, Dublin, D04  V8n8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 V8n8
Bayside Family Practice,"Bayside Shopping Centre, Bayside Square East, Killbarrack, Dublin, D13  Kt59",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 Kt59
Bayside Medical Centre,"Bayside Shopping Centre, Bayside Square East, Sutton, Dublin, D13  W2k1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 W2k1
Bayview Family Practice Ballyshannon,"Townparks, Ballyshannon, Donegal, F94  Tpx4",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Kub9x6bsiscbdzuj8
Bayview Family Practice Bundoran,"Station Road, Drumacrin, Bundoran, Donegal, F94  Dr52",Location And Directions - Google Maps,Https://Maps.app.goo.gl/3eotxhkdp7vo4bus8
Bayview Medical,"5 Killiney Shopping Centre, Rochestown Avenue, Dun Laoghaire, Dublin, A96  Xa78",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 Xa78
Beacon Clinic,"Beacon Court, Sandyford Business Park, Sandyford, Dublin, D18  E7p4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 E7p4
Beaumont Park Clinic,"77 The Park, Beaumont Woods, Beaumont, Dublin, D09  T974",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 T974
Bedford Medical Centre,"Convent Road, Navan, Meath, C15  Pd0v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 Pd0v
Beechlawn Medical Centre,"Carrickbrennan Road, Monkstown, Dublin, A94  Nx03",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 Nx03
Beechview Medical And Dental,"Navan Road, Blanchardstown, Dublin, D15  P6wa",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 P6wa
Beechwood Medical,"46 Ashfield Road, Ranelagh, Dublin, D06  X320",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D06 X320
Belarmine Medical Centre,"Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin, D18  W5w9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 W5w9
Belgrave Clinic,"3 Charleston Road, Dublin 6, Dublin, D06  V6t3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D06 V6t3
Bellview Clinic,"Dublin Road, Mullingar, Westmeath, N91  Ek7r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N91 Ek7r
Belturbet Medical Practice,"Deanery Street, Belturbet, Cavan, H14  Pd30",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H14 Pd30
Belvedere Surgery,"Douglas Road, Ballinlough, Cork, T12  D57t",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 D57t
Bettystown Medical Practice,"20 Brookside, Bettystown, Meath, A92  Pa02",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Pa02
Bio Force Medical & Wellness Clinic,"1st Floor George's Quay House, George's Quay, Limerick, Limerick, V94  Yw9t",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Yw9t
Birchview Surgery,"Airton Road, Tallaght, Dublin, D24  Cf75",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Moxuaescuadmn2uh6
Bishop Street Medical Center,"Bishop Street, Tuam, Galway, H54  A243",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H54 A243
Blackglen Medical,"Unit 7 Blackglen Village Centre, Sandyford, Dublin, D18  Kn23",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 Kn23
Blackpool Bridge Surgery,"83 Thomas Davis Street, Blackpool, Cork, T23  K7y4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 K7y4
Blackpool Medical Centre,"90 Great William O'brien Street, Blackpool, Cork, T23  Tr7a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 Tr7a
Blackrock Family Practice,"41 Main Street, Blackrock, Dublin, A94  D5p2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 D5p2
Blackrock Family Practice,"Main Street, Blackrock, Louth, A91  Xt9d",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 Xt9d
Blackrock Medical Centre,"Frascati Shopping Centre, Blackrock, Dublin, A94  H6v9",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Q2afdjdnsbvqdymx7
Blackrock Medical Centre,"Main Street, Blackrock, Louth, A91  Pyy3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 Pyy3
Blackrock Medical Centre Cork,"74 Skehard Road, Blackrock, Cork, T12  X2dt",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 X2dt
Blackrock Medical Clinic,"34 Main Street, Blackrock, Dublin, A94  T6h3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 T6h3
Blackrock Medical Practice,"62 Newtownpark Avenue, Blackrock, Dublin, A94  Dh59",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 Dh59
Blackwater Medical,"12a Millenium Park, Foxhole, Youghal, Cork, P36  Kr97",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P36 Kr97
Blanchardstown Medical Centre,"2 Main Street, Blanchardstown, Dublin, D15  Ehn9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Ehn9
Blarney Medical Centre,"Monacnappa, Blarney, Cork, T23  Eay1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 Eay1
Blessington Family Practice,"Main Street, Blessington, Wicklow, W91  H704",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 H704
Bloomfield Health Services,"Stocking Lane, Rathfarnham, Dublin, D16  C6t4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D16 C6t4
Blossom Gate Medical Centre,"Kilmallock Primary Care Centre, Kilmallock Business Park, Kilmallock, Limerick, V35  K389",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 K389
Boghall Surgery,"Boghall Shopping Centre, Boghall Road, Bray, Wicklow, A98  Hy72",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 Hy72
Borris In Ossory Health Centre,"Sentry Hill, Borris-In-Ossory, Laois, R32  Dpx8",Location And Directions - Google Maps,Https://Maps.app.goo.gl/53usffmpj2gp9yaw7
Borrisokane Health Centre,"Marian Avenue, Borrisokane, Tipperary, E45  Ec61",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Ec61
Boston Medical Centre,"Saint Anne's, Dublin Road, Portlaoise, Laois, R32  N9dd",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R32 N9dd
Botanic Road Surgery,"97 Botanic Road, Glasnevin, Dublin, D09  E361",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 E361
Bothwell & Coates,"3 Upper Main Street, Arklow, Wicklow, Y14  C9d8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y14 C9d8
Boyd Medical,"278 River Forest, Leixlip, Kildare, W23  A599",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W23 A599
Boyle Medical Centre,"Elphin Street, Boyle, Roscommon, F52  A324",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ta4qb5ifvsypc2399
Boyne Medical Practice,"Unit 12 Boyne Shopping Centre, Bolton Street, Drogheda, Louth, A92  E283",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 E283
Bracken Family Practice,"70 Dublin Street, Balbriggan, Dublin, K32  Hc94",Location And Directions - Google Maps,Https://Maps.app.goo.gl/24xorvva291qfgot9
Bradshaws Lane Surgery,"Bradshaw's Lane, Arklow, Wicklow, Y14  E190",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y14 E190
Braemor Family Practice,"119b Braemor Road, Rathfarnham, Dublin, D14  Vk46",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 Vk46
Brandon Medical Centre,"5 Hoffmans Terrace, Basin Road, Tralee, Kerry, V92  Xa7k",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Xa7k
Bray Family Practice,"Saint Helen's, Meath Road, Bray, Wicklow, A98  Y8x9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 Y8x9
Bray Medical Centre,"Clonmore, Herbert Road, Bray, Wicklow, A98  K1k0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 K1k0
Breda Synnott,"Brookstone Road, Baldoyle, Dublin, D13  Hd36",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 Hd36
Bridge Medical Practice,"Carrigaline Primary Care Centre, Kilnagleary, Carrigaline, Cork, P43  X095",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P43 X095
